"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Western Pacific","","","0.2 [0.1-0.2]","0.20000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Americas","","","0.5 [0.4-0.5]","0.50000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Americas","","","0.5 [0.4-0.5]","0.50000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","South-East Asia","","","0.3 [0.2-0.4]","0.30000","0.20000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Western Pacific","","","0.1 [0.1-0.2]","0.10000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Africa","","","4 [3.3-4.6]","4.00000","3.30000","4.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Americas","","","0.4 [0.4-0.5]","0.40000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","South-East Asia","","","0.3 [0.3-0.4]","0.30000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","South-East Asia","","","0.4 [0.3-0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Africa","","","4.2 [3.5-4.8]","4.20000","3.50000","4.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Africa","","","4.3 [3.5-5]","4.30000","3.50000","5.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Europe","","","0.2 [0.2-0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2004","Europe","","","0.2 [0.2-0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2004","South-East Asia","","","0.4 [0.4-0.5]","0.40000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2003","Global","","","0.7 [0.6-0.8]","0.70000","0.60000","0.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2001","Global","","","0.7 [0.6-0.8]","0.70000","0.60000","0.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","1999","Europe","","","0.2 [0.1-0.2]","0.20000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","1996","Global","","","0.6 [0.5-0.7]","0.60000","0.50000","0.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","1994","Global","","","0.5 [0.4-0.6]","0.50000","0.40000","0.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","1994","Eastern Mediterranean","","","<0.1 [<0.1-<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","1992","Eastern Mediterranean","","","<0.1 [<0.1-<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","1992","Western Pacific","","","<0.1 [<0.1-<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Africa","Benin","","0.8 [0.6–0.9]","0.80000","0.60000","0.90000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Western Pacific","China","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Eastern Mediterranean","Djibouti","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Americas","Ecuador","","0.4 [0.4–0.5]","0.40000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Europe","Germany","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Africa","Ghana","","1.7 [1.4–2]","1.70000","1.40000","2.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Americas","Grenada","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Western Pacific","Japan","","No data","","","","","",""
