"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Total density per 100 000 population: Health posts","Published","2010","Americas","Belize","12.84","12.84000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","South-East Asia","Bhutan","26.45","26.45000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Americas","Bolivia (Plurinational State of)","14.82","14.82000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Europe","Bosnia and Herzegovina","42.82","42.82000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Europe","Denmark","69.93","69.93000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Americas","Dominica","90.03","90.03000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Eastern Mediterranean","Egypt","0.39","0.39000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Americas","El Salvador","9.46","9.46000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Americas","Guyana","27.17","27.17000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Americas","Honduras","18.74","18.74000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Europe","Hungary","5.78","5.78000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Europe","Iceland","17.80","17.80000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","South-East Asia","Indonesia","9.66","9.66000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Western Pacific","Marshall Islands","1.85","1.85000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Africa","Mauritania","13.09","13.09000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Africa","Mauritius","8.47","8.47000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Americas","Mexico","110.08","110.08000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Europe","Portugal","3.06","3.06000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Europe","Republic of Moldova","31.32","31.32000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Europe","Romania","0.02","0.02000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Americas","Saint Kitts and Nevis","0.00","0.00000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Eastern Mediterranean","Sudan","9.39","9.39000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","Americas","Suriname","46.51","46.51000","","","","",""
"Total density per 100 000 population: Health posts","Published","2010","Africa","Eswatini","13.66","13.66000","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2010","South-East Asia","Thailand","41.00","41.00000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","Europe","Azerbaijan","7.62","7.62000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Americas","Bahamas","0.00","0.00000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","South-East Asia","Bangladesh","0.02","0.02000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Americas","Barbados","0.00","0.00000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","Africa","Chad","0.00","0.00000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","Americas","Chile","0.12","0.12000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Africa","Comoros","1.63","1.63000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","Americas","Costa Rica","0.69","0.69000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","Africa","Gambia","1.79","1.79000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Africa","Ghana","9.69","9.69000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","Americas","Grenada","4.79","4.79000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Americas","Guatemala","0.54","0.54000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Europe","Latvia","1.38","1.38000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Eastern Mediterranean","Lebanon","0.07","0.07000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Africa","Liberia","1.13","1.13000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Eastern Mediterranean","Libya","1.64","1.64000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","Europe","Lithuania","5.24","5.24000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","Americas","Nicaragua","2.73","2.73000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Africa","Niger","5.71","5.71000","","","","",""
"Total density per 100 000 population: Health centres","Published","2010","Eastern Mediterranean","Oman","2.66","2.66000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Eastern Mediterranean","Pakistan","0.87","0.87000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Africa","Sierra Leone","1.26","1.26000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Africa","South Africa","0.58","0.58000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Eastern Mediterranean","Sudan","3.21","3.21000","","","","","Only public sector data"
"Total density per 100 000 population: Health centres","Published","2010","Americas","Suriname","1.14","1.14000","","","","",""
